-2.245475	-1.17016	1	0
-3.882664	-2.065516	1	0
-3.819261	-5.335871	1	0
6.381027	-2.024514	1	0
5.398058	-1.779558	1	0
4.482835	-2.596293	1	0
-3.490078	5.052767	1	0
1.063017	-3.374355	1	0
5.253673	3.366374	1	0
-0.212043	-9.886187	0	1
-0.570867	-5.064384	1	0
4.622166	-1.529068	1	0
-6.814438	8.085294	0	1
-8.890999	4.471471	0	1
-2.26738	5.767373	1	0
1.343143	5.522712	1	0
1.897119	-8.575694	0	1
8.24608	9.627274	0	1
-7.261332	-4.37051	0	1
-0.232286	1.205017	1	0
4.790089	-9.881575	0	1
2.519344	1.568949	1	0
-0.215866	0.423215	1	0
2.992649	-9.828809	0	1
-6.80162	-4.355877	1	0
-9.550248	-1.754398	0	1
-5.142936	2.172511	1	0
2.425985	-2.958193	1	0
-1.119197	0.576432	1	0
-5.603914	8.057951	0	1
7.148873	4.329571	0	1
-4.435731	7.965083	0	1
8.708826	8.486272	0	1
4.158244	9.689574	0	1
-5.013188	-1.17235	1	0
-5.694717	4.409515	1	0
-5.236411	3.149322	1	0
5.013814	5.011469	1	0
-3.542006	-7.695821	0	1
7.940372	4.406812	0	1
7.47816	-6.249744	0	1
-5.547396	2.044425	1	0
1.676244	-3.706058	1	0
-6.557578	4.392728	1	0
-8.148946	6.689744	0	1
4.649547	-0.074834	1	0
6.854498	3.011336	1	0
-1.712201	1.4454	1	0
1.972554	7.749267	0	1
-9.808725	3.520222	0	1
7.40136	9.042725	0	1
6.881873	-5.174549	1	0
-7.304696	-1.699035	0	1
3.509348	-2.522325	1	0
1.177442	2.961975	1	0
-8.910872	-9.656646	0	1
9.114053	8.02923	0	1
-1.782976	4.327251	1	0
5.763581	-2.095424	1	0
4.576188	-4.729422	1	0
-2.670792	6.113545	1	0
7.743501	-5.316814	0	1
-7.979888	-0.871581	0	1
-3.211465	-1.912777	1	0
7.414338	4.49845	0	1
5.112544	4.85394	1	0
2.13026	-0.37114	1	0
2.05833	-8.781611	0	1
4.057522	-6.716829	1	0
-1.536899	-5.908394	1	0
2.275319	3.793282	1	0
-2.48361	4.437119	1	0
-4.04933	5.054428	1	0
3.570703	-8.767417	0	1
-3.914949	0.228894	1	0
4.535114	4.642673	1	0
-1.600756	-7.768622	0	1
2.10299	-7.650838	0	1
-0.76774	5.165922	1	0
-4.565599	2.262566	1	0
-7.017695	3.731658	1	0
0.930557	2.967251	1	0
4.976791	-9.448152	0	1
-4.832961	-8.696237	0	1
-3.229027	0.752952	1	0
-6.838023	-3.088166	1	0
-6.309232	7.759488	0	1
-6.922101	1.414542	1	0
9.100972	3.909525	0	1
3.340791	9.377985	0	1
